Genus	Species	1C (pg)	Original Reference	Paper
Utricularia	subulata	0.25	Greilhuber et al., 2006 (Ref. 535)	2011
Eugenia	hyemalis	0.25	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Rubus	leucodermis	0.26	Meng & Finn, 2002 (Ref. 600)	2011
Blepharocalyx	salicifolius	0.26	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Sinningia	harleyi	0.26	Zaitlin and Pierce, 2010 (Ref. 647)	2012
Berberidopsis	corallina	0.26	Hanson et al., 2001 (Ref. 379)	2005a
Utricularia	livida	0.26	Greilhuber et al., 2006 (Ref. 535)	2011
Campomanesia	schlechtendaliana	0.26	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Rubus	simplex	0.26	Meng & Finn, 2002 (Ref. 600)	2011
Begonia	glaba	0.26	Dewitte et al., 2009 (Ref. 618)	2012
Sinningia	eumorpha	0.26	Zaitlin and Pierce, 2010 (Ref. 647)	2012
Pimenta	pseudocariophyllus	0.26	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Thlaspi	praecox	0.26	Temsch et al., 2010 (Ref. 627)	2012
Campomanesia	phaea	0.26	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Rubus	parvifolius	0.27	Meng & Finn, 2002 (Ref. 600)	2011
Rubus	innominatus	0.27	Meng & Finn, 2002 (Ref. 600)	2011
Rubus	parviflorus	0.27	Meng & Finn, 2002 (Ref. 600)	2011
Rubus	spectabilis	0.27	Meng & Finn, 2002 (Ref. 600)	2011
Rosa	blanda	0.28	Bennett et al., 1976 (Ref. 108)	1991
Schmardaea	microphylla	0.28	Styles and Bennett, 1992 (Ref. 215)	1995
Prunus	persica	0.28	Dickson et al., 1992 (Ref. 262)	1995
Stephanandra	incisa	0.28	Dickson et al., 1992 (Ref. 262)	1995
Neillia	simensis	0.28	Dickson et al., 1992 (Ref. 262)	1995
Carex	pumila	0.28	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	oahuensis	0.28	Nishikawa et al., 1984 (Ref. 357)	2000
