Genus	Species	1C (pg)	Original Reference	Paper
Prunus	tomentosa	0.29	Baird et al., 1994 (Ref. 606)	2011
Santalum	album	0.29	Ohri, 2002 (Ref. 454)	2005a
Sinningia	speciosa	0.29	Zaitlin and Pierce, 2010 (Ref. 647)	2012
Sinningia	aggregata	0.29	Zaitlin and Pierce, 2010 (Ref. 647)	2012
Sinningia	muscicola	0.29	Zaitlin and Pierce, 2010 (Ref. 647)	2012
Begonia	subvillosa	0.29	Dewitte et al., 2009 (Ref. 618)	2012
Campomanesia	adamantium	0.29	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Sedum	stellatum	0.30	Hart et al., 1993 (Ref. 399)	2005a
Rubus	hispidus	0.30	Meng & Finn, 2002 (Ref. 600)	2011
Rubus	canadensis	0.30	Meng & Finn, 2002 (Ref. 600)	2011
Rubus	pinfaensis	0.30	Meng & Finn, 2002 (Ref. 600)	2011
Aristolochia	rotunda	0.30	Vesely et al., 2011 (Ref. 675)	2012
Spirodela	polyrhiza	0.30	Geber, 1989 (Ref. 400)	2005a
Campomanesia	guaviroba	0.30	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Jatropha	podagrica	0.30	Vesely et al., 2011 (Ref. 675)	2012
Carex	flacca	0.30	Grime et al., 1985 (Ref. 133)	1991
Epilobium	hirsutum	0.30	Mowforth, 1986 (Ref. 158)	1991
Juncus	effusus	0.30	Greilhuber, 1988 (Ref. 203)	1995
Rubus	idaeus	0.30	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Prunus	armeniaca	0.30	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Prunus	subhirtella	0.30	Dickson et al., 1992 (Ref. 262)	1995
Carex	omiana	0.30	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	kiotensis	0.30	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	thunbergii	0.30	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	tristachya	0.30	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	maximowiczii	0.30	Nishikawa et al., 1984 (Ref. 357)	2000
Drosera	capensis	0.30	Rothfels and Heimburg, 1968 (Ref. 39)	1976
Rubus	occidentalis	0.30	Meng & Finn, 2002 (Ref. 600)	2011
Crinodendron	patagua	0.30	Hanson et al., 2005 (Ref. 612)	2011
Pitcairnia	feliciana	0.30	Ebert & Till, 1997 (Ref. 575)	2011
Prunus	hortulana	0.30	Baird et al., 1994 (Ref. 606)	2011
Prunus	kansuensis	0.30	Baird et al., 1994 (Ref. 606)	2011
Begonia	cucullata	0.30	Dewitte et al., 2009 (Ref. 618)	2012
Leucaena	macrophylla	0.31	Hartman et al., 2000 (Ref. 425)	2005a
Draba	lonchocarpa	0.31	Grundt et al., 2005 (Ref. 505)	2011
Prunus	angustifolia	0.31	Baird et al., 1994 (Ref. 606)	2011
Rhamnus	alaternus	0.31	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Campomanesia	laurifolia	0.31	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Rhoiacarpos	capensis	0.31	Hanson et al., 2001 (Ref. 379)	2005a
Rubus	lasiostylus	0.31	Meng & Finn, 2002 (Ref. 600)	2011
Prunus	davidiana	0.31	Baird et al., 1994 (Ref. 606)	2011
Begonia	listada	0.31	Dewitte et al., 2009 (Ref. 618)	2012
Begonia	soli-mutata	0.31	Dewitte et al., 2009 (Ref. 618)	2012
Vincetoxicum	hirundinaria	0.31	Temsch et al., 2010 (Ref. 627)	2012
Zostera	marina	0.32	Hanson et al., 2003 (Ref. 380)	2005a
Sedum	stoloniferum	0.32	Hart et al., 1993 (Ref. 399)	2005a
Draba	nivalis	0.32	Grundt et al., 2005 (Ref. 505)	2011
Eugenia	punicifolia	0.32	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Eugenia	multicostata	0.32	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Forsskaolea	angustifolia	0.32	Suda et al., 2003 (Ref. 477)	2011
Veronica	cinerea	0.32	Albach & Greilhuber, 2003 (Ref. 478)	2011
Orthophytum	saxicola	0.32	Ramírez-Morillo & Brown, 2001 (Ref. 571)	2011
Prunus	cistena	0.32	Baird et al., 1994 (Ref. 606)	2011
Begonia	luxuarians	0.32	Dewitte et al., 2009 (Ref. 618)	2012
Begonia	echinosepala	0.32	Dewitte et al., 2009 (Ref. 618)	2012
Sinningia	richii	0.32	Zaitlin and Pierce, 2010 (Ref. 647)	2012
Kirkia	acuminata	0.33	Hanson et al., 2001 (Ref. 378)	2005a
Acaena	magellanica	0.33	Bennett MD, Smith JB, Lewis Smith RI., 1982 (Ref. 105)	1982
Ruta	chalepensis	0.33	Guerra M dos S., 1984 (Ref. 140)	1991
Typha	latifolia	0.33	Band, 1984 (Ref. 154)	1991
Mentha	piperita	0.33	Olszewska and Osiecka, 1983 (Ref. 156)	1991
Calathea	princeps	0.33	Sharma and Mukhopadhyay, 1984 (Ref. 355)	2000
Carex	laticeps	0.33	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	sendaica	0.33	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	pisiformis	0.33	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	shimidzensis	0.33	Nishikawa et al., 1984 (Ref. 357)	2000
Paliurus	spina-christi	0.33	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Prunus	mira	0.33	Baird et al., 1994 (Ref. 606)	2011
Prunus	dulcis	0.33	Baird et al., 1994 (Ref. 606)	2011
Prunus	domestica	0.33	Loureiro et al., 2007 (Ref. 563)	2011
Lepidium	densiflorum	0.33	Kubesová et al., 2010 (Ref. 630)	2012
Frangula	alnus	0.33	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Coriaria	myrtifolia	0.33	Hanson et al., 2001 (Ref. 378)	2005a
Medusagyne	oppositifolia	0.33	Hanson et al., 2005 (Ref. 612)	2011
Severinia	buxifolia	0.34	Kayim et al., 1998 (Ref. 426)	2005a
Utricularia	reniformis	0.34	Greilhuber et al., 2006 (Ref. 535)	2011
Hypericum	reflexum	0.34	Suda et al., 2005 (Ref. 552)	2011
Prunus	besseyi	0.34	Baird et al., 1994 (Ref. 606)	2011
Euonymus	verrucosus	0.34	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Lawsonia	inermis	0.34	Hanson et al., 2001 (Ref. 378)	2005a
Hypericum	glandulosum	0.34	Suda et al., 2005 (Ref. 552)	2011
Begonia	tomentosa	0.34	Dewitte et al., 2009 (Ref. 618)	2012
Frangula	rupestris	0.34	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Sinningia	guttata	0.34	Zaitlin and Pierce, 2010 (Ref. 647)	2012
Cucurbita	foetidissima	0.34	Sisko et al., 2003 (Ref. 500)	2011
Rubus	ellipticus	0.35	Meng & Finn, 2002 (Ref. 600)	2011
Rubus	lasiococcus	0.35	Meng & Finn, 2002 (Ref. 600)	2011
Brachypodium	arbuscula	0.35	Suda et al., 2005 (Ref. 552)	2011
Euphorbia	peplus	0.35	Loureiro et al., 2007 (Ref. 563)	2011
Herrania	albiflora	0.35	Argout et al., 2011 (Ref. 646)	2012
Juncus	scheuchzerioides	0.35	Bennett MD, Smith JB, Lewis Smith RI., 1982 (Ref. 105)	1982
Salix	elegantissima	0.35	Olszewska and Osiecka, 1984 (Ref. 157)	1991
Bulnesia	sarmientoi	0.35	Poggio and Hunziker, 1986 (Ref. 174)	1995
Chloris	gayana	0.35	Bennett and Smith, 1976 (Ref. 2)	1976
Prunus	avium	0.35	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Fragaria	moschata	0.35	Antonius and Ahokas, 1996 (Ref. 339)	2000
Calathea	zebrina	0.35	Sharma and Mukhopadhyay, 1984 (Ref. 355)	2000
Carex	curviollis	0.35	Nishikawa et al., 1984 (Ref. 357)	2000
Casuarina	glauca	0.35	Schwencke et al., 1998 (Ref. 452)	2005a
Catunaregam	spinosa	0.35	Ohri, 2002 (Ref. 454)	2005a
Reseda	scoparia	0.35	Suda et al., 2005 (Ref. 552)	2011
Begonia	hispida	0.35	Dewitte et al., 2009 (Ref. 618)	2012
Begonia	metallica	0.35	Dewitte et al., 2009 (Ref. 618)	2012
Dioscorea	dumetorum	0.35	Obidiegwu et al., 2009 (Ref. 633)	2012
Prunus	mahaleb	0.35	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Herrania	nitida	0.35	Argout et al., 2011 (Ref. 646)	2012
Carex	scoparia	0.35	Chung et al., 2011 (Ref. 690)	2012
Rubus	trivialis	0.36	Meng & Finn, 2002 (Ref. 600)	2011
Stachyurus	praecox	0.36	Hanson et al., 2005 (Ref. 612)	2011
Cryptanthus	schwackeanus	0.36	Ramírez-Morillo & Brown, 2001 (Ref. 571)	2011
Verbascum	chaixii	0.36	Temsch et al., 2010 (Ref. 627)	2012
Micromeria	hyssopifolia	0.36	Suda et al., 2003 (Ref. 477)	2011
Veronica	filiformis	0.36	Albach & Greilhuber, 2003 (Ref. 478)	2011
Cardamine	chelidonia	0.36	Kubesová et al., 2010 (Ref. 630)	2012
Voacanga	grandifolia	0.37	Ohri, 2002 (Ref. 454)	2005a
Rubus	canescens	0.37	Meng & Finn, 2002 (Ref. 600)	2011
Ficus	carica	0.37	Loureiro et al., 2007 (Ref. 563)	2011
Theobroma	microcarpum	0.37	Argout et al., 2011 (Ref. 646)	2012
Sinningia	pusilla	0.37	Zaitlin and Pierce, 2010 (Ref. 647)	2012
Oxalis	corymbosa	0.37	Vesely et al., 2011 (Ref. 675)	2012
Spirodela	punctata	0.37	Geber, 1989 (Ref. 400)	2005a
Micromeria	lachnophylla	0.37	Suda et al., 2003 (Ref. 477)	2011
Phyllis	nobla	0.37	Suda et al., 2005 (Ref. 552)	2011
Deuterocohnia	longipetala	0.37	Ebert & Till, 1997 (Ref. 575)	2011
Mimulus	guttatus	0.37	Kubesová et al., 2010 (Ref. 630)	2012
Brachypodium	rupestre	0.37	Wolny and Hasterok, 2009 (Ref. 629)	2012
Carica	papaya	0.38	Bennett et al., 1976 (Ref. 108)	1991
Acer	carpinifolium	0.38	Olszewska and Osiecka, 1984 (Ref. 157)	1991
Lablab	niger	0.38	Bennett and Smith, 1976 (Ref. 2)	1976
Rubus	odoratus	0.38	Dickson et al., 1992 (Ref. 262)	1995
Rhodotypos	scandens	0.38	Dickson et al., 1992 (Ref. 262)	1995
Eriophorum	vaginatum	0.38	Baum et al., 1989 (Ref. 269-D)	1995
Calathea	clossoni	0.38	Sharma and Mukhopadhyay, 1984 (Ref. 355)	2000
Calathea	picturata	0.38	Sharma and Mukhopadhyay, 1984 (Ref. 355)	2000
Calathea	bachemiana	0.38	Sharma and Mukhopadhyay, 1984 (Ref. 355)	2000
Maranta	arundinacea	0.38	Sharma and Mukhopadhyay, 1984 (Ref. 355)	2000
Citrus	aurantium	0.38	Ollitrault et al., 1994 (Ref. 358)	2000
Citrus	aurantifolia	0.38	Ollitrault et al., 1994 (Ref. 358)	2000
Kedrostis	africana	0.38	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Gymnostoma	deplancheana	0.38	Schwencke et al., 1998 (Ref. 452)	2005a
Micromeria	varia	0.38	Suda et al., 2003 (Ref. 477)	2011
Rubus	sanctus	0.38	Meng & Finn, 2002 (Ref. 600)	2011
Cryptanthus	bahianus	0.38	Ramírez-Morillo & Brown, 2001 (Ref. 571)	2011
Prunus	fenzliana	0.38	Baird et al., 1994 (Ref. 606)	2011
Billbergia	nutans	0.38	Ramírez-Morillo & Brown, 2001 (Ref. 571)	2011
Micromeria	herpyllomorpha	0.38	Suda et al., 2003 (Ref. 477)	2011
Veronica	armena	0.38	Albach & Greilhuber, 2003 (Ref. 478)	2011
Brocchinia	acuminata	0.38	Ebert & Till, 1997 (Ref. 575)	2011
Begonia	schmidtiana	0.38	Dewitte et al., 2009 (Ref. 618)	2012
Herrania	kanukensis	0.38	Argout et al., 2011 (Ref. 646)	2012
Nasturtium	officinale	0.38	Morozowska et al., 2010 (Ref. 663)	2012
Sinningia	tubiflora	0.38	Zaitlin and Pierce, 2010 (Ref. 647)	2012
Sinningia	marocphylla	0.38	Zaitlin and Pierce, 2010 (Ref. 647)	2012
Poncirus	trifoliata	0.39	Kayim et al., 1998 (Ref. 426)	2005a
Eucalyptus	citriodora	0.39	Grattapaglia & Bradshaw, 1994 (Ref. 516)	2011
Prunus	webbii	0.39	Baird et al., 1994 (Ref. 606)	2011
Marcetella	moquiniana	0.39	Suda et al., 2005 (Ref. 552)	2011
Brocchinia	tatei	0.39	Ebert & Till, 1997 (Ref. 575)	2011
Azadirachta	indica	0.39	Ohri, 2002 (Ref. 454)	2005a
Mentha	longifolia	0.39	Hanson et al., 2002 (Ref. 465)	2005a
Salix	triandra	0.40	Thibault, 1998 (Ref. 385)	2005a
Citrus	volkameriana	0.40	Kayim et al., 1998 (Ref. 426)	2005a
Carex	pulicaris	0.40	Grime et al., 1985 (Ref. 133)	1991
Chamerion	angustifolium	0.40	Mowforth, 1986 (Ref. 158)	1991
Agropyron	smithii	0.40	Galbraith et al., 1983 (Ref. 240)	1995
Potentilla	fruticosa	0.40	Dickson et al., 1992 (Ref. 262)	1995
Scirpus	tabernaemontani	0.40	Baum et al., 1989 (Ref. 269-D)	1995
Acorus	gramineus	0.40	Bharathan et al., 1994 (Ref. 272)	1997
Freycinetia	multiflora	0.40	Bharathan et al., 1994 (Ref. 272)	1997
Prosopis	flexusa	0.40	Bukhari, 1997 (Ref. 320)	2000
Fragaria	virginiana	0.40	Antonius and Ahokas, 1996 (Ref. 339)	2000
Rosa	sericea	0.40	Yokoya et al., 2000 (Ref. 346)	2000
Rosa	xanthina	0.40	Yokoya et al., 2000 (Ref. 346)	2000
Calathea	lietzei	0.40	Sharma and Mukhopadhyay, 1984 (Ref. 355)	2000
Calathea	insignis	0.40	Sharma and Mukhopadhyay, 1984 (Ref. 355)	2000
Calathea	undulata	0.40	Sharma and Mukhopadhyay, 1984 (Ref. 355)	2000
Carex	chrysolepis	0.40	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	makinoensis	0.40	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	dolichostachya	0.40	Nishikawa et al., 1984 (Ref. 357)	2000
Citrus	limon	0.40	Ollitrault et al., 1994 (Ref. 358)	2000
Citrus	medica	0.40	Ollitrault et al., 1994 (Ref. 358)	2000
Citrus	grandis	0.40	Ollitrault et al., 1994 (Ref. 358)	2000
Citrus	paradisi	0.40	Ollitrault et al., 1994 (Ref. 358)	2000
Eucalyptus	torelliana	0.40	Grattapaglia & Bradshaw, 1994 (Ref. 516)	2011
Deuterocohnia	schreiteri	0.40	Ebert & Till, 1997 (Ref. 575)	2011
Scutellaria	altissima	0.40	Kubesová et al., 2010 (Ref. 630)	2012
Herrania	breviligulata	0.40	Argout et al., 2011 (Ref. 646)	2012
Drosera	peltata	0.40	Vesely et al., 2011 (Ref. 675)	2012
Hypericum	grandifolium	0.41	Suda et al., 2003 (Ref. 477)	2011
Oxalis	megalorrhiza	0.41	Emshwiller et al., 2002 (Ref. 456)	2005a
Carex	acutiformis	0.41	Vesely et al., 2011 (Ref. 675)	2012
Salix	viminalis	0.41	Thibault, 1998 (Ref. 385)	2005a
Citrus	reshni	0.41	Kayim et al., 1998 (Ref. 426)	2005a
Citrus	limonia	0.41	Kayim et al., 1998 (Ref. 426)	2005a
Inga	dulcis	0.41	Ohri, 2002 (Ref. 454)	2005a
Utricularia	prehensilis	0.41	Greilhuber et al., 2006 (Ref. 535)	2011
Herrania	balaensis	0.41	Argout et al., 2011 (Ref. 646)	2012
Narthecium	ossifragum	0.41	Hanson et al., 2003 (Ref. 380)	2005a
Gillenia	trifoliata	0.42	Telent & Dickinson, 2005 (Ref. 527)	2011
Luzula	divulgatiformis	0.42	Bacic et al., 2007 (Ref. 572)	2011
Ostrya	carpinifolia	0.42	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Myrica	gale	0.42	Hanson et al., 2001 (Ref. 379)	2005a
Salvadora	persica	0.42	Hanson et al., 2005 (Ref. 612)	2011
Echium	strictum	0.42	Suda et al., 2005 (Ref. 552)	2011
Globularia	salicina	0.42	Suda et al., 2005 (Ref. 552)	2011
Polycarpaea	carnosa	0.42	Suda et al., 2005 (Ref. 552)	2011
Pitcairnia	prolifera	0.42	Ebert & Till, 1997 (Ref. 575)	2011
Asclepias	syriaca	0.42	Kubesová et al., 2010 (Ref. 630)	2012
Eleocharis	cellulosa	0.42	Zedek et al., 2010 (Ref. 632)	2012
Quillaja	saponaria	0.42	Garcia S. et al., 2010 (Ref. 664)	2012
Polygala	amara	0.42	Temsch et al., 2010 (Ref. 627)	2012
Escallonia	rubra	0.42	Hanson et al., 2003 (Ref. 380)	2005a
Salix	caprea	0.43	Mowforth, 1986 (Ref. 158)	1991
Theobroma	cacao	0.43	Figueira et al., 1992 (Ref. 239)	1995
Hygrophila	violacea	0.43	Baum et al., 1989 (Ref. 269-D)	1995
Vitis	doaniana	0.43	Lodhi and Reisch, 1995 (Ref. 273)	1997
Vitis	vinifera	0.43	Lodhi and Reisch, 1995 (Ref. 273)	1997
Coffea	sessiliflora	0.43	Cros et al., 1994 (Ref. 309)	2000
Prosopis	alba	0.43	Bukhari, 1997 (Ref. 320)	2000
Prosopis	lampa	0.43	Bukhari, 1997 (Ref. 320)	2000
Prosopis	pallida	0.43	Bukhari, 1997 (Ref. 320)	2000
Prosopis	chilensis	0.43	Bukhari, 1997 (Ref. 320)	2000
Prosopis	juliflora	0.43	Bukhari, 1997 (Ref. 320)	2000
Prosopis	glandulosa	0.43	Bukhari, 1997 (Ref. 320)	2000
Friesodielsia	obovata	0.43	Morawetz and Samuel, 1998 (Ref. 341)	2000
Rosa	persica	0.43	Yokoya et al., 2000 (Ref. 346)	2000
Rosa	stellata	0.43	Yokoya et al., 2000 (Ref. 346)	2000
Carex	oxyandra	0.43	Nishikawa et al., 1984 (Ref. 357)	2000
Atriplex	californica	0.43	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Salix	elaeagnos	0.43	Thibault, 1998 (Ref. 385)	2005a
Polygala	angustifolia	0.43	Horjales et al., 2003 (Ref. 489)	2011
Jatropha	curcas	0.43	Carvalho et al., 2008 (Ref. 561)	2011
Oxalis	medicaginea	0.43	Emshwiller et al., 2002 (Ref. 456)	2005a
Strychnos	nux-vomica	0.43	Hanson et al., 2005 (Ref. 612)	2011
Zoysia	japonica	0.43	Arumuganathan et al., 1999 (Ref. 417)	2005a
Melia	azedarach	0.43	Ohri, 2002 (Ref. 454)	2005a
Ceropegia	fusca	0.43	Suda et al., 2003 (Ref. 477)	2011
Salvia	broussonetii	0.43	Suda et al., 2003 (Ref. 477)	2011
Polygala	calcarea	0.43	Hanson et al., 2005 (Ref. 612)	2011
Brocchinia	uaipanensis	0.43	Ebert & Till, 1997 (Ref. 575)	2011
Prosopis	velutina	0.43	Sliwinska et al., 2009 (Ref. 624)	2012
Drypis	spinosa	0.43	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Brachypodium	sylvaticum	0.43	Wolny and Hasterok, 2009 (Ref. 629)	2012
Luzula	pallescens	0.43	Halkka, 1964 (Ref. 576)	2011
Dasypogon	hookeri	0.44	Hanson et al., 2003 (Ref. 380)	2005a
Leucaena	lempirana	0.44	Hartman et al., 2000 (Ref. 425)	2005a
Micromeria	thymifolia	0.44	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Isopyrum	thalictroides	0.44	Vesely et al., 2011 (Ref. 675)	2012
Oxalis	san-miguelii	0.44	Emshwiller et al., 2002 (Ref. 456)	2005a
Oxalis	urubambensis	0.44	Emshwiller et al., 2002 (Ref. 456)	2005a
Micromeria	glomerata	0.44	Suda et al., 2003 (Ref. 477)	2011
Veronica	serpyllifolia	0.44	Albach & Greilhuber, 2003 (Ref. 478)	2011
Puya	mirabilis	0.44	Ebert & Till, 1997 (Ref. 575)	2011
Pitcairnia	heterophylla	0.44	Ebert & Till, 1997 (Ref. 575)	2011
Oxalis	lotoides	0.44	Emshwiller et al., 2002 (Ref. 456)	2005a
Brachypodium	pinnatum	0.44	Wolny and Hasterok, 2009 (Ref. 629)	2012
Oxalis	oulophora	0.44	Emshwiller et al., 2002 (Ref. 456)	2005a
Oxalis	ptychoclada	0.44	Emshwiller et al., 2002 (Ref. 456)	2005a
Oxalis	vulcanicola	0.44	Emshwiller et al., 2002 (Ref. 456)	2005a
Brachypodium	sylvaticum	0.44	Wolny and Hasterok, 2009 (Ref. 629)	2012
Dioscorea	tokoro	0.44	Vesely et al., 2011 (Ref. 675)	2012
Polygala	vulgaris	0.45	Horjales et al., 2003 (Ref. 489)	2011
Ceropegia	dichotoma	0.45	Suda et al., 2003 (Ref. 477)	2011
Polycarpaea	latifolia	0.45	Suda et al., 2003 (Ref. 477)	2011
Teucrium	arduini	0.45	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Oxalis	mollis	0.45	Emshwiller et al., 2002 (Ref. 456)	2005a
Oxalis	marcapatensis	0.45	Emshwiller et al., 2002 (Ref. 456)	2005a
Rostkovia	magellanica	0.45	Bennett MD, Smith JB, Lewis Smith RI., 1982 (Ref. 105)	1982
Scirpus	sylvaticus	0.45	Mowforth, 1986 (Ref. 158)	1991
Bulnesia	arborea	0.45	Poggio and Hunziker, 1986 (Ref. 174)	1995
Cyperus	haspan	0.45	Greilhuber, 1988 (Ref. 203)	1995
Ananas	bracteatus	0.45	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Mangifera	indica	0.45	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Aristolochia	fimbriata	0.45	Bharathan et al., 1994 (Ref. 272)	1997
Vitis	vulpina	0.45	Lodhi and Reisch, 1995 (Ref. 273)	1997
Vitis	champini	0.45	Lodhi and Reisch, 1995 (Ref. 273)	1997
Vitis	flexuosa	0.45	Lodhi and Reisch, 1995 (Ref. 273)	1997
Coffea	racemosa	0.45	Cros et al., 1994 (Ref. 309)	2000
Rosa	willmottiae	0.45	Yokoya et al., 2000 (Ref. 346)	2000
Calathea	ornata	0.45	Sharma and Mukhopadhyay, 1984 (Ref. 355)	2000
Carex	conica	0.45	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	blepharicarpa	0.45	Nishikawa et al., 1984 (Ref. 357)	2000
Cyperus	rotundus	0.45	Bennett et al., 1998 (Ref. 375)	2000
Heliconia	rostrata	0.45	Hanson et al., 2001 (Ref. 379)	2005a
Koelreuteria	apiculata	0.45	Ohri et al., 2004 (Ref. 501)	2011
Arabidopsis	lyrata	0.45	Dart et al., 2004 (Ref. 508)	2011
Echium	decaisnei	0.45	Suda et al., 2005 (Ref. 552)	2011
Populus	tremula	0.45	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Spiraea	chamaedryfolia	0.45	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Rhamnus	intermedius	0.45	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Sedum	ochroleucum	0.46	Hart, 1991 (Ref. 398)	2005a
Polycarpaea	tenuis	0.46	Suda et al., 2003 (Ref. 477)	2011
Oryza	rufipogon	0.46	Ammiraju et al., 2006 (Ref. 545)	2011
Luzula	sudetica	0.46	Bacic et al., 2007 (Ref. 572)	2011
Betula	nana	0.46	Anamthawat-Jónsson et al., 2010 (Ref. 667)	2012
Sedum	forsterianum	0.46	Hart, 1991 (Ref. 398)	2005a
Echium	virescens	0.46	Suda et al., 2005 (Ref. 552)	2011
Juncus	tenuis	0.46	Kubesová et al., 2010 (Ref. 630)	2012
Pittosporum	tenuifolium	0.46	Hanson et al., 2001 (Ref. 379)	2005a
Oxalis	herrerae	0.46	Emshwiller et al., 2002 (Ref. 456)	2005a
Oxalis	peduncularis	0.46	Emshwiller et al., 2002 (Ref. 456)	2005a
Oxalis	lucumayensis	0.46	Emshwiller et al., 2002 (Ref. 456)	2005a
Oxalis	sp. cfr. Melilotoides	0.47	Emshwiller et al., 2002 (Ref. 456)	2005a
Polycarpaea	aristata	0.47	Suda et al., 2003 (Ref. 477)	2011
Greenovia	dodrendalis	0.47	Suda et al., 2005 (Ref. 552)	2011
Rhamnus	orbiculata	0.47	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Salix	purpurea	0.47	Thibault, 1998 (Ref. 385)	2005a
Guaiacum	officinale	0.47	Ohri et al., 2004 (Ref. 501)	2011
Echium	simplex	0.47	Suda et al., 2005 (Ref. 552)	2011
Echium	gentianoides	0.47	Suda et al., 2005 (Ref. 552)	2011
Hechtia	matudae	0.47	Ebert & Till, 1997 (Ref. 575)	2011
Puya	stenothyrsa	0.47	Ebert & Till, 1997 (Ref. 575)	2011
Primula	vulgaris	0.47	Temsch et al., 2010 (Ref. 627)	2012
Populus	canescens	0.47	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Penstemon	dissectus	0.47	Broderick et al., 2011 (Ref. 648)	2012
Anthyllis	vulneraria	0.48	Grime and Mowforth, 1982 (Ref. 110)	1991
Hesperantha	bachmannii	0.48	Goldblatt et al., 1984 (Ref. 137)	1991
Corylus	avellana	0.48	Band, 1984 (Ref. 154)	1991
Melia	birmanica	0.48	Ohri and Kumar, 1986 (Ref. 185)	1995
Tectona	grandis	0.48	Ohri and Kumar, 1986 (Ref. 185)	1995
Dioscorea	togoensis	0.48	Hamon et al., 1992 (Ref. 245)	1995
Spiraea	pubescens	0.48	Dickson et al., 1992 (Ref. 262)	1995
Myriophyllum	proserpinacoides	0.48	Baum et al., 1989 (Ref. 269-D)	1995
Vitis	riparia	0.48	Lodhi and Reisch, 1995 (Ref. 273)	1997
Vitis	acerifolia	0.48	Lodhi and Reisch, 1995 (Ref. 273)	1997
Vitis	aestivalis	0.48	Lodhi and Reisch, 1995 (Ref. 273)	1997
Vitis	aestivalis	0.48	Lodhi and Reisch, 1995 (Ref. 273)	1997
Citrus	reticulata	0.48	Marie and Brown, 1993 (Ref. 290)	1997
Rosa	nitida	0.48	Yokoya et al., 2000 (Ref. 346)	2000
Rosa	iliensis	0.48	Yokoya et al., 2000 (Ref. 346)	2000
Rosa	foliolosa	0.48	Yokoya et al., 2000 (Ref. 346)	2000
Rosa	roxburghii	0.48	Yokoya et al., 2000 (Ref. 346)	2000
Lotus	tenuis	0.48	Cheng and Grant, 1973 (Ref. 38)	1976
Lotus	japonicus	0.48	Cheng and Grant, 1973 (Ref. 38)	1976
Lotus	corniculatus	0.48	Cheng and Grant, 1973 (Ref. 38)	1976
Lotus	alpinus	0.48	Borsos, 1973 (Ref. 51)	1976
Salvia	brachyodon	0.48	Maksimovic et al., 2007 (Ref. 549)	2011
Melittis	melissophyllum	0.48	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Drosera	menziesii	0.48	Vesely et al., 2011 (Ref. 675)	2012
Oxalis	boliviana	0.48	Emshwiller et al., 2002 (Ref. 456)	2005a
Oxalis	paucartambensis	0.48	Emshwiller et al., 2002 (Ref. 456)	2005a
Salix	pyrenaica	0.48	Thibault, 1998 (Ref. 385)	2005a
Leucaena	multicapitula	0.48	Hartman et al., 2000 (Ref. 425)	2005a
Luzula	exspectata	0.48	Bacic et al., 2007 (Ref. 572)	2011
Hechtia	epigyna	0.48	Ebert & Till, 1997 (Ref. 575)	2011
Rumex	alpinus	0.48	Kubesová et al., 2010 (Ref. 630)	2012
Valeriana	longiflora	0.48	Hidalgo et al., 2010 (Ref. 638)	2012
Oxalis	sp. cfr.teneriensis	0.48	Emshwiller et al., 2002 (Ref. 456)	2005a
Zoysia	pauciflora	0.49	Murray et al., 2005 (Ref. 528)	2011
Plantago	arborescens	0.49	Suda et al., 2003 (Ref. 477)	2011
